Name,Country,Continent,Era,Year(midpoint),Civilization,Religion,Architecture Style,Material,Structure,Area(m2),Preservation,Popularity
Great Temple (Petra),Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean ,Nabataean temple architecture,Sandstone,"dromos, colonnades, theater",7560,Moderate,High
Ajanta Caves,India,Asia,2nd century BCE - 6th century CE,200 CE,Ancient Indian (Buddhist),Buddhism,Rock-cut cave architecture,Basalt,30 caves,82420000,Good,High
Ellora Caves,India,Asia,6th - 10th century CE,800 CE,Rashtrakuta / Yadava India,Hinduism / Buddhism / Jainism,Rock-cut monolithic architecture,Basalt,34 caves,2000000,Good,High
Konark Sun Temple,India,Asia,c. 1250 CE,1250 CE,Eastern Ganga dynasty,Hinduism,Kalinga (temple as chariot),Sandstone / laterite,Temple with 24 wheels and 7 horses,106200,"Partially ruined, preserved",High
Pattadakal,India,Asia,7th - 8th century AD,700 AD,Chalukya India,Hinduism / Jainism,Blend of Nagara / Dravidian styles,Sandstone / carved stone,Group of temples,50000,Good,Moderate
Khajuraho Group of Monuments,India,Asia,950-1050 AD,1000 AD,Chandela dynasty,Hinduism / Jainism,Nagara temple architecture,Sandstone,23 temples,210000,Good,High
Hampi Monuments,India,Asia,14th - 16th centuries,1450 AD,Vijayanagara Empire,Hinduism,Dravidian / urban architecture,"Granite, brick, lime mortar","City ruins, temples, palaces",41870000,Ruins preserved,Very high
Qutb Minar,India,Asia,c. 1193 - 1369 CE,1281 CE,Delhi Sultanate,Islam,Indo-Islamic architecture,"Red sandstone, marble ","Minaret, mosque, tombs",50000,Good,Very high
Chittorgarh Fort,India,Asia,7th century AD,650 AD,Mewar (Rajput polity),Hinduism,Rajput hill-fort architecture,Stone masonry,Fort complex,2800000,Good,High
Great Living Chola Temples,India,Asia,11th - 12th centuries,1100 AD,Chola Empire,Hinduism,Dravidian (Chola) temple architecture,Granite,3 major temples,219000,Excellent,Moderate-High
Sanchi Stupa,India,Asia,3rd century BCE,250 BCE,Mauryan,Buddhism,Stupa architecture (Mauryan),"Brick, stone ",Great Stupa & smaller stupas,50000,Good,High
Temple of the Winged Lions,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean ,Nabataean temple architecture,Sandstone ,Temple complex with cult rooms,2000,Moderate,Low-Moderate
Blue Pillar Chapel,Jordan,Asia,5th century AD,450 AD,Nabataean Kingdom,Nabataean,Rock-cut chapel architecture,Sandstone,Chapel structure,100,Moderate,Low
Obelisk Tomb & Bab as-Siq,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Tomb and monumental,100,Good,Moderate-High
The Royal Tombs,Jordan,Asia,1st century BCE - 2nd century CE,50 CE,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Series of royal tombs,100,Moderate,Moderate
The Temenos Gate,Jordan,Asia,1st - 2nd century AD,100 AD,Roman ,Roman / Nabataean,Masonry & sandstone,Sandstone,triple-arched gateway,100,Moderate,Low-Moderate
The Nabataean Theatre,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Theatre,"Rock-cut, masonry",Sandstone,Carved amphitheater,1000,Good,High
Facade Tombs,Jordan,Asia,1st century BCE - 2nd century CE,50 CE,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Multiple tomb,100,Good,Moderate
Al-Khazneh,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean,Sandstone rock-cut,Sandstone,"Carved facade, treasury",50,Excellent,Very high
