site_name,country,text_type,source,text,chars
Great Temple (Petra),Jordan,dossier,curated_csv,"Site: Great Temple (Petra). Country: Jordan. Continent: Asia. Era: 1st century AD (midpoint 50 AD). Civilization: Nabataean Kingdom. Religion: Nabataean . Architecture: Nabataean temple architecture. Material: Sandstone. Structure: dromos, colonnades, theater. Preservation: Moderate. Popularity: High.",302
Great Temple (Petra),Jordan,qa,curated_csv,"Question: Where is Great Temple (Petra)? Answer: Great Temple (Petra) is in Jordan, Asia.",89
Great Temple (Petra),Jordan,qa,curated_csv,Question: What is the architecture of Great Temple (Petra)? Answer: Nabataean temple architecture using Sandstone.,114
Great Temple (Petra),Jordan,qa,curated_csv,"Question: What era is Great Temple (Petra) from? Answer: Great Temple (Petra) belongs to the 1st century AD era, associated with Nabataean Kingdom.",147
Great Temple (Petra),Jordan,qa,curated_csv,"Question: What religion is linked to Great Temple (Petra)? Answer: Nabataean. Structure type: dromos, colonnades, theater. Preservation: Moderate.",146
Great Temple (Petra),Jordan,qa,curated_csv,"Question: Tell me about Great Temple (Petra). Answer: Site: Great Temple (Petra). Country: Jordan. Continent: Asia. Era: 1st century AD (midpoint 50 AD). Civilization: Nabataean Kingdom. Religion: Nabataean . Architecture: Nabataean temple architecture. Material: Sandstone. Structure: dromos, colonnades, theater. Preservation: Moderate. Popularity: High.",356
Great Temple (Petra),Jordan,wiki_summary,wikipedia_rest,"Background (Great Temple (Petra)): The Great Temple at Petra is a grand monumental complex that lies south of the Colonnaded Street at Petra. It covers an area of ~7,560 m2. The complex was probably completed in the early first century AD, under the rule of Nabataean king Aretas IV, as suggested by architectural and sculptural details.",337
Great Temple (Petra),Jordan,qa,wikipedia_rest,"Question: Summarize Great Temple (Petra). Answer: The Great Temple at Petra is a grand monumental complex that lies south of the Colonnaded Street at Petra. It covers an area of ~7,560 m2. The complex was probably completed in the early first century AD, under the rule of Nabataean king Aretas IV, as suggested by architectural and sculptural details.",352
Great Temple (Petra),Jordan,qa,wikipedia_rest,"Question: What is special about Great Temple (Petra)? Answer: The Great Temple at Petra is a grand monumental complex that lies south of the Colonnaded Street at Petra. It covers an area of ~7,560 m2. The complex was probably completed in the early first century AD, under the rule of Nabataean king Aretas IV, as suggested by architectural and sculptural detail",362
Great Temple (Petra),Jordan,wiki_extract,wikipedia_api,"Background (Great Temple (Petra), Wikipedia extract): The Great Temple at Petra is a grand monumental complex that lies south of the Colonnaded Street at Petra. It covers an area of ~7,560 m2. The complex was probably completed in the early first century AD, under the rule of Nabataean king Aretas IV, as suggested by architectural and sculptural details. The ""Great Temple"" occupied a prime spot in ancient Petra: from its ruins one can now see the Siq to the Southeast, the Qasr al-Bint to the West, and the Lower Market/Petra Pool Complex to the East. It is unclear whether the complex was a religious or administrative building, and if it was indeed religious how exactly it functioned or to what deity it was dedicated. == History of research == In the 1890s, the ruins were superficially explored by German archaeologists R. E. Br nnow and A. von Domaszewski. Walter Bachmann then surveyed Petra as a member of the Preservation branch of the Germa",954
